대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중
283,283. 아크로타워 스퀘어(영등포시장),34651,8580,4713,8239,0.2476119015324233,0.13601339066693602,0.23777091570228853
3664,3664. 맥도날드 서울둔촌DT점 앞,34342,4621,5811,8895,0.13455826684526237,0.1692097140527634,0.2590122881602702
2707,2707.한강아파트,34342,8602,4545,8160,0.2504804612427931,0.13234523324209424,0.23760992370857842
1012,1012. 천호역효성해링턴타워 앞,34325,3775,6419,8662,0.1099781500364166,0.187006554989075,0.2523525127458121
5883,5883. 영문초사거리,34310,4293,6942,8427,0.12512387059166424,0.20233168172544447,0.24561352375400758
1180,1180. 마곡엠밸리 15단지(1502동) 건너편,34233,6032,6864,6853,0.17620424736365495,0.20050828148277977,0.20018695410860865
1251,1251. 석촌역 2번출구,34142,3435,6368,9909,0.10060922031515436,0.18651514263956417,0.29022904340694744
278,278. 쌍용플레티넘오피스텔,34114,4717,5218,9860,0.13827167731723047,0.15295772996423757,0.2890308964061676
117,117. 홍은사거리,34067,3960,6545,9860,0.11624152405553762,0.19212140781401357,0.28942965333020226
648,648. 장안동위더스빌옆,33994,7870,5309,7853,0.2315114431958581,0.15617461905042065,0.23101135494499028
1946,1946. 구로역 광장,33888,6815,8994,6033,0.20110363550519358,0.26540368271954673,0.17802762039660056
5887,5887.나루마을 마당공원,33887,9848,5015,8213,0.29061291940862277,0.14799185528373712,0.24236432850355594
2637,2637. 아시아지하보도 14번 출구,33792,2774,6724,9491,0.08209043560606061,0.19898200757575757,0.2808652935606061
6177,6177. 마곡롯데캐슬르웨스트,33687,7423,5830,7150,0.22035206459465076,0.1730637931546294,0.21224804820850773
1914,1914. 대림역4번출구,33618,6140,6989,7405,0.1826402522458207,0.20789458028437147,0.22026890356356713
1308,1308. 안암로터리 버스정류장 앞,33562,1404,7339,8313,0.041833025445444254,0.21866992431917048,0.24769084083189322
296,296.KT플라자 영등포점,33379,6709,5403,8172,0.20099463734683484,0.1618682405105006,0.24482459031127354
