대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"291","291. 문래동 하이테크 시티",29495,6.05%,38.00%,15.13%
"3542","3542. 래미안 구의파크 스위트",29482,24.38%,15.54%,26.00%
"238","238. 제2구민체육센타 앞",29452,21.74%,22.15%,14.07%
"154","154. 마포구청역",29409,9.06%,16.61%,31.32%
"2109","2109. 은천로입구 가로공원",29384,24.88%,12.19%,26.99%
"612","612. 시립동부병원 앞 사거리",29252,19.78%,18.64%,22.72%
"1155","1155. 기쁜우리복지관",29225,23.79%,13.52%,21.91%
"4486","4486. 홈플러스 잠실점",29185,8.29%,27.53%,23.42%
"548","548. 자양나들목",29111,23.90%,12.29%,28.82%
"592","592. 건국대학교 학생회관",29050,4.15%,21.93%,14.21%
"293","293. 충북 미래관",29033,29.06%,12.85%,25.28%
"1449","1449. 상봉역 1번출구",29010,12.51%,26.33%,22.56%
"1102","1102. 방화사거리 마을버스 버스정류장",28997,10.95%,16.61%,26.29%
"2727","2727.서울식물원 잔디마당 앞",28994,11.45%,46.17%,8.58%
"3579","3579.광진 캠퍼스시티",28963,19.85%,20.10%,23.21%
"2921","2921.중계역 2번출구",28909,13.91%,19.32%,22.68%
"1248","1248. 방이초등학교",28818,13.22%,18.50%,27.65%
"4142","4142. 현대썬앤빌 앞",28776,25.07%,12.03%,23.33%
"3819","3819. 서울대벤처타운역",28768,9.00%,16.93%,29.16%
"614","614. 용두동 사거리",28744,13.39%,16.46%,23.34%
"1243","1243. 문정 법조단지7",28726,8.77%,34.69%,15.16%
"2601","2601. 석촌호수 아뜰리에",28707,15.85%,16.32%,28.10%
"1688","1688. 마들역 7번출구",28696,14.84%,21.54%,23.22%
"184","184.망원우체국사거리 인근",28690,11.90%,17.17%,29.50%
"630","630. 동대문구 보건소",28621,21.05%,19.62%,17.92%
"219","219. 롯데캐슬엠파이어 옆",28617,16.54%,27.36%,16.46%
"1262","1262. 송파여성문화회관 앞",28612,15.83%,17.03%,24.73%
"103","103. 망원역 2번출구 앞",28606,5.97%,17.57%,33.42%
"4027","4027. 한내 행복발전소 옆",28489,3.58%,15.95%,31.96%
"4481","4481. 올림픽공원 북2문 B",28413,9.91%,18.93%,33.30%
"5087","5087. 연세강서빌딩",28395,25.80%,14.09%,24.70%
"1140","1140. 목동사거리 버스정류장",28378,20.61%,15.22%,23.26%
"1964","1964. 원메디타운 앞",28359,14.56%,15.24%,23.46%
"3760","3760. 발산역 8번 출구",28299,24.32%,18.80%,20.35%
"5765","5765. 삼전동주민센터 건너편",28216,19.83%,14.87%,25.86%
"3904","3904. 테크노마트 앞",28211,7.48%,20.50%,30.03%
"1656","1656. 중앙하이츠 아파트 입구",28111,7.78%,14.91%,30.53%
"1363","1363. 보문4교 인근",28064,16.58%,15.60%,27.14%
"754","754. 목동1단지아파트 118동 앞",28044,28.48%,12.31%,27.35%
"1447","1447. 면목역 3번출구",28022,11.01%,19.56%,26.35%
"906","906. 연신내역 5번출구",27990,6.25%,18.71%,28.74%
"3581","3581.광진광장",27984,20.68%,21.93%,20.79%
