대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
138,138. 신촌동 제1공영주차장 앞,5871,916.0,800.0,1378.0,13.626298756600239,23.47129960824391,1,1
139,139. 연세대 정문 건너편,3508,473.0,710.0,669.0,20.239452679589508,19.070695553021665,1,3
140,140. 이화여대 후문,7227,607.0,2135.0,1269.0,29.541995295419955,17.559153175591533,1,3
141,141. 연대 대운동장 옆,5300,385.0,1157.0,1142.0,21.830188679245282,21.547169811320753,1,3
142,142. 아현역 4번출구 앞,8186,1594.0,1470.0,1955.0,17.957488394820427,23.882237967261176,1,1
143,143. 공덕역 2번출구,13057,2008.0,3289.0,2846.0,25.189553496208926,21.79673738224707,3,3
145,145. 공덕역 5번출구,16559,2743.0,3355.0,3947.0,20.260885319161783,23.835980433601062,3,3
146,146. 마포역 2번출구 뒤,25262,2929.0,5402.0,6868.0,21.383896761934924,27.18707940780619,3,1
147,147. 마포역 4번출구 뒤,35286,4198.0,8451.0,9561.0,23.95000850195545,27.09573201836422,2,2
148,148. 용강동 주민센터 앞,14658,3192.0,2084.0,4307.0,14.217492154454906,29.3832719334152,3,1
150,150. 서강대역 2번출구 앞,13064,1937.0,2064.0,3555.0,15.799142682180037,27.212186160440904,3,1
153,153. 성산2교 사거리,25043,4191.0,4446.0,6307.0,17.753464041848023,25.18468234636425,3,2
154,154. 마포구청역 ,29409,2665.0,4885.0,9211.0,16.61056139277092,31.32034411234656,2,1
155,155. 가좌역1 번출구 앞,16933,3753.0,3415.0,3976.0,20.167719837004665,23.480777180653163,3,3
156,156. 서울서부지방법원 앞,9651,1038.0,2370.0,2059.0,24.55704072116879,21.33457672780023,1,3
157,157. 애오개역 4번출구 앞,18244,4423.0,2464.0,4411.0,13.505810129357599,24.177811883358913,3,1
159,159. 이대역 4번 출구,4195,342.0,958.0,1186.0,22.836710369487484,28.27175208581645,1,1
160,160. 북아현동 가구거리,5730,710.0,1230.0,1401.0,21.465968586387437,24.45026178010471,1,3
161,161. 무악재역1번 출구,2338,343.0,414.0,718.0,17.70744225834046,30.710008554319934,1,1
162,162. 봉원고가차도 밑,8405,1333.0,1389.0,2089.0,16.52587745389649,24.854253420582985,1,1
163,163. 명지전문대학교 정문 앞,6262,1281.0,819.0,1245.0,13.078888534014691,19.881826892366654,1,1
