대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"1009","1009. 천호역4번출구(현대백화점)",57506,4566,7.94%,14003,24.35%,16393,28.51%
"1867","1867.대륭포스트타워6차 앞",56544,10846,19.18%,20542,36.33%,7516,13.29%
"2717","2717.LG유플러스 마곡사옥",56514,4110,7.27%,27175,48.09%,4611,8.16%
"1222","1222. 잠실새내역 5번 출구 뒤",55811,5087,9.11%,10775,19.31%,15798,28.31%
"781","781.신정보도육교 아래",55742,15176,27.23%,7785,13.97%,13542,24.29%
"3518","3518. 군자역 7번출구뒤",55695,10080,18.10%,11586,20.80%,12530,22.50%
"1625","1625. 상계역 3번출구",55091,8151,14.80%,9421,17.10%,13974,25.37%
"4574","4574. 영등포시장역 포레나영등포",54936,9107,16.58%,11367,20.69%,13210,24.05%
"1112","1112. 마곡엠밸리4단지 정문",54666,7179,13.13%,11168,20.43%,13018,23.81%
"1152","1152. 마곡역교차로",54446,7831,14.38%,14814,27.21%,10355,19.02%
"4543","4543. 오목교역 6번 출구",53602,6509,12.14%,12880,24.03%,13489,25.17%
"2739","2739.수명산파크1단지교차로",53373,15205,28.49%,6973,13.06%,11926,22.34%
"4457","4457. 아산병원 기숙사 부근",53097,3544,6.67%,15640,29.46%,8567,16.13%
"726","726. 목동3단지 시내버스정류장",52964,11717,22.12%,7617,14.38%,13247,25.01%
"585","585. 성수2가1동 공영주차장 인근",52416,8506,16.23%,9680,18.47%,14369,27.41%
"797","797.목동아파트 1422동 1434동 사잇길",52209,11270,21.59%,8009,15.34%,13515,25.89%
"708","708. 서울출입국관리사무소 앞",52154,7270,13.94%,10462,20.06%,12530,24.03%
"5784","5784.한강버스 잠실 선착장",51916,1625,3.13%,7522,14.49%,24040,46.31%
"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",51646,10806,20.92%,8355,16.18%,12228,23.68%
"3569","3569.건대병원후문",51584,7456,14.45%,9348,18.12%,11168,21.65%
"4571","4571. 문래동롯데캐슬아파트",51277,12442,24.26%,9487,18.50%,11654,22.73%
"1158","1158. 가양역 8번출구",51228,7541,14.72%,11021,21.51%,11453,22.36%
"1190","1190. 마곡역 교차로(2번출구)",51145,6189,12.10%,13143,25.70%,11983,23.43%
"770","770.목동역5번출구",50444,7563,14.99%,11630,23.06%,9877,19.58%
"1078","1078.둔촌사거리",49945,7191,14.40%,7127,14.27%,15458,30.95%
"5781","5781. 올림픽공원 수영장",49519,7562,15.27%,6366,12.86%,11436,23.09%
"4561","4561. 양평역 1번출구",49418,12586,25.47%,10463,21.17%,9897,20.03%
"3780","3780. 등촌서광아파트",49309,11197,22.71%,7758,15.73%,11903,24.14%
"240","240. 문래역 4번출구 앞",48986,10085,20.59%,10930,22.31%,10452,21.34%
"1020","1020. 강동경찰서",48978,9883,20.18%,7768,15.86%,9830,20.07%
"1925","1925. 동양미래대학교 정문 옆",48965,6598,13.47%,7521,15.36%,13120,26.79%
