대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"217","217. NH농협은행 앞",43039,4786,11.12%,15917,36.98%,5461,12.69%
"1637","1637. KT 전화국 버스정류장 옆",42925,2563,5.97%,9189,21.41%,12266,28.58%
"4452","4452. 삼성SDS",42597,2807,6.59%,17845,41.89%,6137,14.41%
"703","703. 오목교역 7번출구 앞",42528,5887,13.84%,10858,25.53%,9724,22.86%
"3881","3881. 신자초교입구 교차로",42468,9598,22.60%,5263,12.39%,11300,26.61%
"1024","1024.  강동구청 앞",42209,5775,13.68%,9272,21.97%,9592,22.73%
"5080","5080. 가양역 1번출구",42174,7507,17.80%,9036,21.43%,9268,21.98%
"431","431. 청계천 영도교",42101,6271,14.90%,5941,14.11%,10367,24.62%
"2136","2136. 신림역 8번출구",41976,3443,8.20%,6650,15.84%,12118,28.87%
"1209","1209. 잠실나루역 (2번 출구 쪽)",41960,8354,19.91%,10266,24.47%,8895,21.20%
"4233","4233. 코오롱아파트사거리",41838,6612,15.80%,6849,16.37%,11499,27.48%
"2824","2824.미래사랑어린이공원 앞",41804,5142,12.30%,10703,25.60%,10337,24.73%
"228","228. 선유도역 3번출구 앞",41758,4745,11.36%,8437,20.20%,12291,29.43%
"4897","4897. 잠실주공5단지1",41740,11772,28.20%,4894,11.72%,11206,26.85%
"1684","1684. 태릉입구역 5번출구",41679,2780,6.67%,8696,20.86%,10888,26.12%
"3575","3575. 자양사거리(서원빌딩)",41602,4735,11.38%,7063,16.98%,10859,26.10%
"5882","5882. 휴젠느",41285,10823,26.22%,6522,15.80%,10202,24.71%
"996","996.응암역2번출구 국민은행 앞",41248,3683,8.93%,8275,20.06%,11451,27.76%
"3511","3511. 응봉역 1번출구",41189,4961,12.04%,5598,13.59%,14719,35.74%
"907","907. CJ 드림시티",41059,3839,9.35%,6792,16.54%,12417,30.24%
"853","853.용산역 맞은편",40797,2377,5.83%,7857,19.26%,14407,35.31%
