대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"1174","1174. 강서구청사거리(부민병원)",Group 1,21059,6213,12.94%,19.16%
"237","237. 보라매 두산위브 건너편",Group 1,21058,4678,17.46%,23.56%
"3201","3201.당산skv1센터",Group 1,21058,3288,23.55%,18.20%
"1762","1762.북한산 한신휴플러스APT앞",Group 1,21031,4474,12.41%,25.75%
"1021","1021. 강일동 리슈빌 빌딩앞",Group 1,20989,4749,13.43%,20.73%
"2140","2140. 신림1교 교차로",Group 1,20962,3693,13.02%,28.78%
"1333","1333. 석관초등학교 앞",Group 1,20958,2445,18.30%,23.02%
"4532","4532. 목동현대아파트 후문 앞",Group 1,20955,3182,13.07%,27.71%
"4557","4557. 리버뷰신안인스빌2차 후문",Group 1,20936,3587,13.96%,27.44%
"179","179. 가좌역 4번출구 앞",Group 1,20929,5508,20.93%,19.97%
"1446","1446. 중랑전화국 교차로",Group 1,20905,3843,15.42%,23.22%
"2731","2731.명덕고교",Group 1,20881,5152,14.86%,18.11%
"561","561. 서울숲역 2번출구 앞",Group 1,20880,3825,21.18%,21.60%
"2531","2531.멤피스아파트 앞",Group 1,20875,3443,22.13%,21.92%
"1259","1259. 방이역 1번출구",Group 1,20861,2359,17.82%,26.83%
"4765","4765. 동대문디자인플라자",Group 1,20851,1118,22.24%,26.05%
"613","613. 신설동역 10번출구 앞",Group 1,20827,3344,19.78%,22.20%
"4182","4182.보라매병원역 2번출구",Group 1,20792,1889,24.30%,24.39%
"701","701. 목동사거리 부근",Group 1,20756,4454,13.30%,25.51%
"624","624. 전농동 동아아파트 앞",Group 1,20736,6185,10.12%,23.27%
"1278","1278. 송파구청 교차로",Group 1,20702,2499,23.65%,26.75%
"3700","3700. 강변그대가리버뷰 입구 맞은편",Group 1,20702,4563,10.04%,35.04%
"3767","3767. 대원빌딩",Group 1,20673,5508,13.29%,25.22%
"5851","5851. 도림천 건널목 위",Group 1,20653,4209,12.65%,26.19%
"1201","1201. 가락시장역 3번 출구",Group 1,20652,3141,22.03%,18.88%
"1022","1022. 길동 사거리(초소앞)",Group 1,20648,3452,17.94%,23.13%
"5053","5053. 신마곡벽산블루밍메트로오피스텔앞",Group 1,20643,4652,15.41%,23.70%
"4938","4938.LH수서2단지 201동 앞",Group 1,20632,6499,11.63%,25.46%
"1512","1512. 강북중학교 앞",Group 1,20628,3216,14.68%,29.57%
"176","176. 명지대학교 도서관",Group 1,20627,3126,12.82%,25.38%
"1080","1080.천호지하주차장 5번 출입구",Group 1,20552,2772,15.92%,26.25%
"3215","3215.강변삼성래미안",Group 1,20525,6535,10.84%,24.63%
