대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"657","657. 동대문롯데캐슬아파트 앞",Group 1,19439,4823,12.16%,24.43%
"678","678.장안힐스테이트(아) 앞",Group 1,19419,2968,18.18%,23.73%
"3975","3975.현대시티아울렛 가산",Group 1,19410,3978,22.24%,21.41%
"2384","2384. 자곡사거리",Group 1,19400,5138,15.17%,23.68%
"1959","1959. 구로구의회 앞",Group 1,19397,3532,21.05%,21.28%
"385","385. 종각역 5번출구",Group 1,19391,1694,29.83%,19.44%
"4841","4841. 중화수경공원",Group 1,19382,3119,13.49%,29.90%
"4859","4859. 잠실나루 나들목",Group 1,19362,2062,16.19%,36.58%
"1962","1962. 가리봉동주민센터",Group 1,19322,3701,29.70%,12.64%
"4387","4387. 성수역 1번출구 주변",Group 1,19286,1174,33.98%,21.02%
"841","841. 신용산역 1번 출구",Group 1,19280,728,26.23%,28.53%
"4906","4906. 섬유센터 앞",Group 1,19272,1752,30.50%,20.10%
"1708","1708. 도봉보건소사거리",Group 1,19190,2513,16.32%,23.82%
"2230","2230.이수역 4번 출구",Group 1,19188,2466,20.79%,23.28%
"3811","3811.신사로입구",Group 1,19170,4760,11.89%,26.80%
"5084","5084. 강서우체국",Group 1,19165,3795,20.77%,20.03%
"221","221. 여의도초교 앞",Group 1,19128,2782,19.08%,28.25%
"4824","4824. 상봉신협 앞",Group 1,19109,5092,12.13%,26.37%
"563","563. 성동세무서 건너편",Group 1,19101,2155,44.13%,10.09%
"5890","5890.여의나루역 3번출구",Group 1,19097,1829,19.98%,37.66%
"943","943. 은평구청 보건소",Group 1,19079,2435,20.64%,18.54%
"756","756. 목동주차장",Group 1,19075,940,17.88%,32.86%
"2259","2259. 잠원역 3번-4번 출구사이",Group 1,19036,2045,22.67%,26.49%
"265","265. 영등포유통상가 사거리",Group 1,19014,3091,19.68%,22.71%
"587","587. 유니베라 앞",Group 1,18985,1078,33.48%,22.22%
"114","114. 홍대입구역 8번출구 앞",Group 1,18954,612,21.41%,29.49%
"1001","1001. 광진교 남단 사거리(천호공원 방면)",Group 1,18948,1872,15.57%,30.73%
"2910","2910.도깨비시장",Group 1,18933,1944,16.77%,26.81%
"4091","4091. 방학역2번출구",Group 1,18884,1936,19.68%,24.84%
"530","530. 청계벽산아파트 앞",Group 1,18882,4727,15.71%,23.04%
"266","266. 영등포청과시장 사거리",Group 1,18875,2204,21.46%,22.35%
"111","111. 상수역 2번출구 앞",Group 1,18851,852,16.75%,33.55%
"292","292. 영일 어린이공원",Group 1,18838,4186,13.83%,23.80%
"5151","5151.진넥스베르디엠 앞",Group 1,18837,2736,16.51%,25.84%
"204","204. 국회의사당역 5번출구 옆",Group 1,18832,2831,29.40%,15.59%
"3560","3560.성동구 견인차량 보관소 앞",Group 1,18829,3126,18.98%,22.73%
"4020","4020. 중계동 성모빌딩 앞",Group 1,18806,1020,19.22%,28.92%
"2404","2404. 대모산입구역 4번 출구 앞",Group 1,18785,3718,15.71%,27.19%
"1742","1742. 북한산 코오롱 하늘채",Group 1,18781,3223,11.20%,25.33%
"1966","1966. 한마을아파트 정문상가",Group 1,18769,4856,11.57%,23.24%
"623","623. 서울시립대 정문 앞 B",Group 1,18738,2064,16.11%,25.65%
"166","166. 가재울 초등학교",Group 1,18732,4966,11.47%,27.56%
